symbol,time,open,high,low,close,volume
ETH-EUR,2024-01-17T16:51:00,2330.27,2330.8,2330.0,2330.38,6.72345424
ETH-EUR,2024-01-17T16:50:00,2331.18,2332.21,2330.68,2332.21,6.73740572
ETH-EUR,2024-01-17T16:49:00,2329.92,2331.67,2329.92,2331.29,5.50885014
ETH-EUR,2024-01-17T16:48:00,2330.78,2331.32,2329.81,2329.81,2.25207179
ETH-EUR,2024-01-17T16:47:00,2325.0,2330.88,2322.06,2330.8,6.8887892
ETH-EUR,2024-01-17T16:46:00,2331.0,2331.0,2326.8,2326.8,2.74204127
ETH-EUR,2024-01-17T16:45:00,2329.33,2331.25,2329.33,2330.92,1.62858247
ETH-EUR,2024-01-17T16:44:00,2333.42,2333.43,2329.1,2329.61,2.53362184
ETH-EUR,2024-01-17T16:43:00,2337.49,2337.72,2334.17,2334.17,3.50450842
ETH-EUR,2024-01-17T16:42:00,2336.2,2337.57,2335.12,2336.64,6.65568511
ETH-EUR,2024-01-17T16:41:00,2336.07,2336.91,2334.63,2336.09,22.20448371
ETH-EUR,2024-01-17T16:40:00,2337.05,2337.8,2335.22,2335.94,5.28912569
ETH-EUR,2024-01-17T16:39:00,2337.31,2337.52,2336.45,2336.91,6.6832975
ETH-EUR,2024-01-17T16:38:00,2336.75,2337.31,2336.1,2337.31,1.31323666
ETH-EUR,2024-01-17T16:37:00,2333.87,2338.21,2333.87,2337.98,17.33155005
ETH-EUR,2024-01-17T16:36:00,2336.39,2336.39,2333.05,2333.05,0.31903337
ETH-EUR,2024-01-17T16:35:00,2339.59,2340.86,2337.61,2337.61,7.58941736
ETH-EUR,2024-01-17T16:34:00,2339.52,2340.54,2339.26,2339.95,3.14398243
ETH-EUR,2024-01-17T16:33:00,2339.13,2339.48,2337.83,2338.48,1.00426734
ETH-EUR,2024-01-17T16:32:00,2337.74,2339.79,2337.73,2339.36,0.95138148
ETH-EUR,2024-01-17T16:31:00,2337.65,2339.01,2337.65,2338.87,0.20078382
ETH-EUR,2024-01-17T16:30:00,2337.03,2339.15,2335.3,2335.72,8.26384642
ETH-EUR,2024-01-17T16:29:00,2336.69,2336.69,2335.1,2336.48,2.6831954
ETH-EUR,2024-01-17T16:28:00,2336.3,2337.22,2335.36,2336.38,1.17607428
ETH-EUR,2024-01-17T16:27:00,2337.74,2337.74,2335.44,2335.47,8.20039529
ETH-EUR,2024-01-17T16:26:00,2340.24,2340.64,2337.15,2337.93,3.7029674
